Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,35-39,32.47188,32.32778,32.61599,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,40-44,28.31771,28.17705,28.45836,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,45-49,24.3393,24.20193,24.47668,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,50-54,20.56135,20.4276,20.69509,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,55-59,17.0293,16.89988,17.15873,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,60-64,13.76882,13.64424,13.89341,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,65-69,10.73955,10.61856,10.86053,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,70-74,8.01106,7.8937,8.12842,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,75-79,5.68457,5.57026,5.79889,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,80-84,3.81535,3.71218,3.91852,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,85-89,2.44659,2.36037,2.53281,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,90plus,1.53935,1.45688,1.62181,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,lessthan1,62.85994,62.72446,62.99542,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,01-04,62.19582,62.05975,62.33188,HLE
